QuestionID,CourseID,QuestionType,QuestionTitle,CorrectAnswer
1,8,TF,The SQL SELECT statement is used to retrieve data from a database,TRUE
2,8,TF,the ORDER BY clause is used to sort the result set in ascending order by default.,TRUE
3,8,TF,The SQL UPDATE statement is used to delete rows from a table.,TRUE
4,8,TF,"In SQL, the WHERE clause is used to specify conditions while retrieving or modifying data.",TRUE
5,8,TF,The SQL JOIN clause is used to combine rows from two or more tables based on a related column between them.,TRUE
6,8,TF,"In SQL, the GROUP BY clause is used to group rows that have the same values into summary rows.",TRUE
7,8,TF,The SQL INSERT INTO statement is used to add new records into a database table.,TRUE
8,8,TF,The SQL DELETE statement is used to remove existing records from a table.,TRUE
9,8,TF,"In SQL, the HAVING clause is used to filter the results returned by the GROUP BY clause.",TRUE
10,8,TF,"In SQL, a primary key constraint ensures that a column or a set of columns in a table uniquely identifies each row in that table.",TRUE
11,8,TF,SQL stands for Structured Query Language.,TRUE
12,8,TF,The SQL AVG() function returns the average value of a numeric column.,TRUE
13,8,TF,The SQL TRUNCATE TABLE statement removes all rows from a table without logging individual row deletions.,TRUE
14,8,TF,The SQL DELETE statement is used to remove table structure without deleting the data.,FALSE
15,8,TF,SQL functions can only be used in the SELECT statement.,FALSE
16,8,TF,The SQL INSERT INTO statement is used to update existing records in a table.,FALSE
17,8,TF,SQL comments can span across multiple lines.,FALSE
18,8,TF,"In SQL, the LIMIT clause is used to specify the number of columns to retrieve from a table.",FALSE
19,8,TF,The SQL ALTER TABLE statement is used to create a new table in the database.,FALSE
20,8,TF,The SQL JOIN clause is used to perform mathematical calculations on data retrieved from a table.,FALSE
21,8,TF,"In SQL, the LIKE operator is used to search for exact matches only.",FALSE
22,8,TF,SQL is not case-sensitive when it comes to keywords and identifiers.,FALSE
23,8,TF,The SQL TRUNCATE TABLE statement can be rolled back using a transaction.,FALSE
24,4,TF,Power BI is a business analytics tool developed by Microsoft.,FALSE
25,4,TF,Power BI Desktop is a cloud-based version of Power BI.,FALSE
26,4,TF,The SQL INSERT INTO statement is used to update existing records in a table.,FALSE
27,4,TF,Power BI reports can be shared with others through the Power BI service.,FALSE
28,4,TF,Power BI Desktop is the only tool available for creating Power BI reports.,FALSE
29,4,TF,Power BI can connect to both cloud-based and on-premises data sources.,FALSE
30,4,TF,Power BI Desktop is a free tool available for download from the Microsoft website.,FALSE
31,4,TF,Power BI allows users to create custom calculations and measures using DAX (Data Analysis Expressions).,FALSE
32,4,TF,Power BI reports can be embedded into websites and applications using Power BI Embedded.,FALSE
33,4,TF,Power BI is primarily used for data visualization but cannot perform advanced data analysis.,FALSE
34,4,TF,Power BI Desktop allows users to create interactive reports and dashboards.,TRUE
35,4,TF,Power BI supports data preparation tasks such as data cleaning and transformation.,TRUE
